code,draw,form,id1,loss,name1,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1200,1270,1160,1230,1160,1240,1
7,0,,2,0,Aston Villa,0,0,0,AVL,3,,FALSE,0,1090,1100,1110,1110,1070,1090,2
91,0,,3,0,Bournemouth,0,0,0,BOU,2,,FALSE,0,1050,1070,1070,1110,1040,1070,127
94,0,,4,0,Brentford,0,0,0,BRE,3,,FALSE,0,1100,1150,1100,1150,1140,1170,130
36,0,,5,0,Brighton,0,0,0,BHA,3,,FALSE,0,1140,1140,1170,1160,1150,1170,131
8,0,,6,0,Chelsea,0,0,0,CHE,4,,FALSE,0,1210,1230,1230,1220,1200,1210,4
31,0,,7,0,Crystal Palace,0,0,0,CRY,3,,FALSE,0,1090,1150,1090,1180,1080,1160,6
11,0,,8,0,Everton,0,0,0,EVE,3,,FALSE,0,1080,1100,1090,1090,1090,1110,7
54,0,,9,0,Fulham,0,0,0,FUL,3,,FALSE,0,1070,1090,1090,1090,1100,1120,34
13,0,,10,0,Leicester,0,0,0,LEI,3,,FALSE,0,1100,1100,1070,1080,1150,1100,26
2,0,,11,0,Leeds,0,0,0,LEE,3,,FALSE,0,1100,1100,1090,1100,1140,1130,9
14,0,,12,0,Liverpool,0,0,0,LIV,5,,FALSE,0,1320,1350,1270,1290,1340,1350,10
43,0,,13,0,Man City,0,0,0,MCI,5,,FALSE,0,1350,1370,1340,1360,1340,1360,11
1,0,,14,0,Man Utd,0,0,0,MUN,3,,FALSE,0,1150,1220,1140,1150,1160,1200,12
4,0,,15,0,Newcastle,0,0,0,NEW,3,,FALSE,0,1110,1190,1150,1160,1100,1170,23
17,0,,16,0,Nott'm Forest,0,0,0,NFO,2,,FALSE,0,1045,1070,1050,1050,1040,1100,15
20,0,,17,0,Southampton,0,0,0,SOU,3,,FALSE,0,1090,1100,1090,1110,1100,1130,20
6,0,,18,0,Spurs,0,0,0,TOT,4,,FALSE,0,1210,1250,1170,1230,1200,1210,21
21,0,,19,0,West Ham,0,0,0,WHU,3,,FALSE,0,1100,1150,1130,1130,1140,1110,25
39,0,,20,0,Wolves,0,0,0,WOL,3,,FALSE,0,1100,1100,1130,1130,1080,1080,38
,,,21,,BG1,,,,,,,,,,,,,,,
,,,22,,BG2,,,,,,,,,,,,,,,
,,,23,,BG3,,,,,,,,,,,,,,,
,,,24,,BG4,,,,,,,,,,,,,,,
,,,25,,BG5,,,,,,,,,,,,,,,
,,,26,,BG6,,,,,,,,,,,,,,,
,,,27,,BG7,,,,,,,,,,,,,,,
,,,28,,BG8,,,,,,,,,,,,,,,
,,,29,,BG9,,,,,,,,,,,,,,,
,,,30,,BG10,,,,,,,,,,,,,,,
,,,31,,BG11,,,,,,,,,,,,,,,
,,,32,,BG12,,,,,,,,,,,,,,,
,,,33,,BG13,,,,,,,,,,,,,,,
,,,34,,BG14,,,,,,,,,,,,,,,
,,,35,,BG15,,,,,,,,,,,,,,,
,,,36,,BG16,,,,,,,,,,,,,,,
,,,37,,BG17,,,,,,,,,,,,,,,
,,,38,,BG18,,,,,,,,,,,,,,,
,,,39,,BG19,,,,,,,,,,,,,,,
,,,40,,BG20,,,,,,,,,,,,,,,
,,,41,,BG21,,,,,,,,,,,,,,,
,,,42,,BG22,,,,,,,,,,,,,,,
,,,43,,BG23,,,,,,,,,,,,,,,
,,,44,,BG24,,,,,,,,,,,,,,,
,,,45,,BG25,,,,,,,,,,,,,,,
,,,46,,BG26,,,,,,,,,,,,,,,
,,,47,,BG27,,,,,,,,,,,,,,,
,,,48,,BG28,,,,,,,,,,,,,,,
,,,49,,BG29,,,,,,,,,,,,,,,
,,,50,,BG30,,,,,,,,,,,,,,,
,,,51,,BG31,,,,,,,,,,,,,,,
,,,52,,BG32,,,,,,,,,,,,,,,
,,,53,,BG33,,,,,,,,,,,,,,,
,,,54,,BG34,,,,,,,,,,,,,,,
,,,55,,BG35,,,,,,,,,,,,,,,
,,,56,,BG36,,,,,,,,,,,,,,,
,,,57,,BG37,,,,,,,,,,,,,,,
,,,58,,BG38,,,,,,,,,,,,,,,
,,,59,,BG39,,,,,,,,,,,,,,,
,,,60,,BG40,,,,,,,,,,,,,,,
,,,61,,BG41,,,,,,,,,,,,,,,
,,,62,,BG42,,,,,,,,,,,,,,,
,,,63,,BG43,,,,,,,,,,,,,,,
,,,64,,BG44,,,,,,,,,,,,,,,
,,,65,,BG45,,,,,,,,,,,,,,,
,,,66,,BG46,,,,,,,,,,,,,,,
,,,67,,BG47,,,,,,,,,,,,,,,
